cv_protocol,cohort_name,modality,device,task,model,seed,feature_set,outer_fold,L_id,label,probability,fold_specific_threshold
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2549,0,0.39986549069484073,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2550,0,0.3516267683977882,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2551,1,0.6077926581104597,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2552,0,0.34551487521578866,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2553,0,0.49070408195257187,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2554,0,0.2916311565010498,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2556,0,0.2239589733799221,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2557,0,0.45618143243094283,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2558,1,0.4895210253695647,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2559,0,0.2726067245627443,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2560,0,0.38231951075916487,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2561,0,0.5067443976489207,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2563,0,0.1799071725399699,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2564,0,0.3715465644490905,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2565,0,0.1914320867169105,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2566,1,0.6254759406050047,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2567,1,0.7499001274506251,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2568,0,0.4402953175206979,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2569,1,0.6624238329629103,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2571,0,0.5333814788609743,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2573,1,0.3889936813308547,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2574,0,0.23404634549903372,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2576,1,0.770532480130593,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2579,1,0.5833369344472885,0.45
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,0,eeg_deep,0,L2580,1,0.5439877112706503,0.45
